,amount,transaction_hour,foreign_transaction,location_mismatch,device_trust_score,velocity_last_24h,cardholder_age,fraud_label,anomaly_score
5537,377.39,22,0,1,98,3,63,0,0.12057059881103793
7665,58.49,1,0,1,91,0,65,0,0.12028783068863902
4261,386.63,19,1,0,39,5,63,1,0.12011462989689625
7400,12.21,23,0,1,44,5,31,0,0.12006449314010159
6123,1354.54,23,0,0,38,0,47,0,0.11898558117387803
6786,502.61,0,0,1,55,1,64,0,0.11894435681206894
4317,7.4,21,0,1,88,0,25,0,0.11871348713086338
8550,442.84,5,1,0,27,3,68,0,0.11837293960706063
305,670.24,10,0,1,97,3,43,0,0.11743182196165547
6378,618.8,6,0,1,74,2,69,0,0.11723223569994434
7253,421.73,22,1,0,79,3,18,0,0.11673439258879914
1464,1339.51,3,0,0,89,0,26,0,0.11650762763753508
5707,19.66,1,1,0,44,5,67,1,0.115920218890599
7331,356.0,0,0,1,78,4,46,0,0.11559103164368878
3238,172.42,4,0,1,92,0,68,0,0.11464697979215221
1305,368.59,3,0,1,25,3,44,1,0.11449997229231945
140,590.76,19,1,0,84,3,23,0,0.11447709838608988
6888,29.13,0,1,0,99,4,42,0,0.11408876975475313
3225,398.71,0,1,0,95,1,27,0,0.11398631873780052
1,541.82,3,1,0,87,1,64,0,0.11337182475332708
8938,88.76,18,1,0,29,0,18,0,0.1128566890885564
4322,200.79,23,0,1,71,4,66,0,0.11220906881508119
7591,329.86,23,0,1,45,3,20,0,0.11204763570361076
907,75.29,18,0,1,98,5,39,0,0.11171419149107531
9600,3.48,23,0,1,91,4,50,0,0.11124866266135902
9337,671.45,9,0,1,39,1,61,0,0.1112410363437506
9822,204.27,3,1,0,80,0,18,0,0.11107909211312939
7721,480.82,21,0,1,75,1,69,0,0.1107157013338037
585,49.43,9,1,0,98,6,46,0,0.11038188141693461
4627,124.98,20,0,1,79,0,21,0,0.10963347245722899
4011,89.54,18,0,1,37,5,67,1,0.10947354001344456
9345,1161.2,20,0,0,28,0,47,0,0.10907276398855459
472,7.94,1,0,1,41,0,30,0,0.10897048327113834
665,29.86,3,0,1,87,4,27,0,0.10858895031801419
2523,79.97,21,1,0,38,0,68,0,0.10856618208531443
3406,351.38,22,0,1,96,2,25,0,0.1085555807384947
1388,630.11,7,0,1,51,1,30,0,0.10775332709095498
