respondent_id,gender,income_quintile,urban_rural,education,has_account,transactions_90d,uses_credit,uses_savings,cost,distance,documentation,trust,no_credit_history,has_mobile_money,has_utility_account
R000038,male,2,urban,primary,1,12,0,1,0,0,0,0,0,1,1
R000039,male,2,rural,secondary,1,1,0,1,0,0,0,0,0,1,0
R000040,male,1,urban,secondary,1,5,0,0,0,0,0,0,0,0,1
R000041,male,4,urban,secondary,1,30,0,1,0,0,0,0,0,1,0
R000042,female,4,rural,tertiary,1,30,0,0,0,0,0,0,0,0,1
R000043,male,3,rural,secondary,1,1,1,0,0,0,0,0,0,0,0
R000044,male,2,urban,primary,1,2,0,1,0,0,0,0,0,1,0
R000045,male,1,urban,secondary,1,1,0,0,0,0,0,0,0,0,0
R000046,male,4,urban,none,1,12,0,0,0,0,0,0,0,1,1
R000047,male,3,urban,primary,1,0,0,0,0,0,0,0,0,1,1
R000048,female,1,rural,none,0,0,0,0,1,1,0,1,1,1,0
R000049,female,2,rural,primary,0,0,0,0,0,1,1,1,0,0,1
R000050,male,4,rural,secondary,0,0,0,0,1,1,1,1,0,1,1
R000051,male,4,urban,secondary,1,1,0,0,0,0,0,0,0,1,1
R000052,female,3,rural,secondary,1,0,0,0,0,0,0,0,0,1,0
R000053,male,3,urban,tertiary,1,2,0,0,0,0,0,0,0,1,1
R000054,male,4,urban,tertiary,1,12,0,1,0,0,0,0,0,0,0
R000055,female,4,urban,secondary,1,12,1,0,0,0,0,0,0,0,1
R000056,male,1,urban,secondary,1,0,0,1,0,0,0,0,0,1,0
R000057,female,5,rural,primary,1,30,1,0,0,0,0,0,0,1,0
R000058,male,3,urban,secondary,1,1,0,1,0,0,0,0,0,0,1
R000059,male,2,rural,primary,0,0,0,0,1,1,1,1,1,0,0
R000060,female,1,urban,secondary,0,0,0,0,1,0,1,1,1,1,1
R000061,male,2,rural,secondary,1,1,0,0,0,0,0,0,0,0,0
R000062,female,2,urban,none,0,0,0,0,1,0,0,1,0,1,1
R000063,male,2,rural,primary,0,0,0,0,0,0,1,0,1,1,0
R000064,male,2,rural,secondary,1,30,0,1,0,0,0,0,0,0,1
R000065,female,1,urban,secondary,1,2,0,0,0,0,0,0,0,0,1
R000066,male,5,rural,secondary,1,30,0,1,0,0,0,0,0,1,0
R000067,male,1,urban,primary,0,0,0,0,1,0,1,0,0,0,1
R000068,female,1,urban,secondary,1,1,1,0,0,0,0,0,0,0,0
R000069,male,5,rural,primary,1,12,0,0,0,0,0,0,0,0,1
R000070,male,3,urban,none,1,2,0,0,0,0,0,0,0,1,1
R000071,female,5,rural,secondary,1,2,1,0,0,0,0,0,0,1,1
R000072,male,3,urban,secondary,1,2,0,0,0,0,0,0,0,0,1
R000073,male,5,urban,secondary,1,30,0,1,0,0,0,0,0,1,1
R000074,male,1,rural,tertiary,1,1,0,0,0,0,0,0,0,0,0
R000075,female,4,rural,primary,1,2,0,0,0,0,0,0,0,0,0
R000076,female,4,urban,tertiary,1,12,1,1,0,0,0,0,0,1,0
R000077,female,1,urban,primary,0,0,0,0,1,0,1,1,0,0,1
R000078,male,1,rural,secondary,0,0,0,0,1,0,0,0,1,1,0
R000079,male,5,rural,secondary,1,2,0,1,0,0,0,0,0,1,1
R000080,female,5,urban,secondary,1,12,0,0,0,0,0,0,0,1,1
R000081,male,4,rural,none,1,5,0,0,0,0,0,0,0,0,1
R000082,female,3,rural,secondary,1,12,1,0,0,0,0,0,0,1,1
R000083,female,3,urban,secondary,1,0,0,0,0,0,0,0,0,1,0
R000084,female,2,urban,primary,1,12,0,0,0,0,0,0,0,1,1
R000085,female,3,rural,secondary,1,12,1,0,0,0,0,0,0,1,1
R000086,male,3,rural,primary,0,0,0,0,0,1,0,0,0,1,0
R000087,female,5,urban,secondary,1,2,0,0,0,0,0,0,0,1,1
R000088,male,4,rural,tertiary,1,2,0,0,0,0,0,0,0,0,1
R000089,female,4,urban,primary,1,30,0,0,0,0,0,0,0,0,1
R000090,male,2,rural,secondary,1,1,0,1,0,0,0,0,0,0,0
R000091,male,5,rural,secondary,1,12,1,1,0,0,0,0,0,1,1
R000092,male,3,rural,tertiary,1,1,1,0,0,0,0,0,0,1,0
R000093,female,1,rural,tertiary,1,2,0,0,0,0,0,0,0,1,0
R000094,female,5,urban,secondary,1,12,0,1,0,0,0,0,0,1,1
R000095,female,1,urban,secondary,0,0,0,0,1,0,0,0,0,1,0
R000096,male,5,urban,secondary,1,1,0,1,0,0,0,0,0,1,1
R000097,male,1,rural,primary,1,5,1,0,0,0,0,0,0,1,1
R000098,male,2,urban,tertiary,1,12,1,1,0,0,0,0,0,1,1
R000099,male,1,urban,secondary,1,2,0,1,0,0,0,0,0,0,0
R000100,male,2,rural,secondary,1,5,0,1,0,0,0,0,0,0,0
R000101,male,2,rural,none,0,0,0,0,1,0,0,0,1,1,0
R000102,female,2,rural,secondary,1,30,0,0,0,0,0,0,0,0,1
R000103,male,4,rural,secondary,1,1,0,1,0,0,0,0,0,1,1
R000104,female,1,urban,secondary,1,1,0,1,0,0,0,0,0,0,1
R000105,female,4,rural,secondary,1,5,1,1,0,0,0,0,0,1,0
R000106,male,5,rural,tertiary,1,2,0,1,0,0,0,0,0,1,1
R000107,female,4,urban,secondary,1,12,0,0,0,0,0,0,0,0,1
R000108,male,1,rural,tertiary,1,1,0,0,0,0,0,0,0,1,1
R000109,male,3,urban,primary,1,0,0,1,0,0,0,0,0,1,1
R000110,female,4,rural,secondary,1,0,1,0,0,0,0,0,0,0,1
R000111,male,2,urban,primary,0,0,0,0,1,0,1,0,1,0,1
R000112,female,3,urban,primary,1,1,1,1,0,0,0,0,0,1,0
R000113,female,2,rural,secondary,0,0,0,0,0,1,0,1,1,0,0
R000114,male,3,rural,secondary,1,0,0,0,0,0,0,0,0,0,0
R000115,male,1,rural,primary,0,0,0,0,1,1,1,0,1,1,0
R000116,female,3,rural,primary,0,0,0,0,0,0,1,1,1,0,0
R000117,male,1,rural,secondary,0,0,0,0,0,1,0,0,0,0,0
R000118,male,1,urban,secondary,1,1,1,0,0,0,0,0,0,1,1
R000119,female,4,urban,tertiary,1,5,0,0,0,0,0,0,0,1,1
R000120,male,2,rural,secondary,1,2,1,1,0,0,0,0,0,1,0
R000121,female,4,urban,primary,1,2,0,0,0,0,0,0,0,1,1
R000122,female,2,urban,secondary,0,0,0,0,0,1,1,0,1,0,0
R000123,male,5,urban,secondary,1,2,0,0,0,0,0,0,0,1,1
R000124,male,2,urban,secondary,1,5,0,0,0,0,0,0,0,0,1
R000125,male,2,urban,primary,1,1,0,0,0,0,0,0,0,1,1
R000126,female,4,urban,secondary,1,12,1,1,0,0,0,0,0,0,1
R000127,female,1,rural,secondary,0,0,0,0,1,1,0,0,1,0,1
R000128,male,2,urban,primary,0,0,0,0,1,0,1,0,0,1,1
R000129,female,3,rural,secondary,0,0,0,0,1,1,0,0,0,1,0
R000130,male,2,rural,primary,0,0,0,0,1,1,0,1,1,1,1
R000131,female,3,urban,tertiary,1,0,0,0,0,0,0,0,0,0,0
R000132,female,2,rural,secondary,1,5,0,1,0,0,0,0,0,1,1
R000133,male,3,rural,secondary,1,2,0,1,0,0,0,0,0,1,0
R000134,female,1,rural,secondary,1,5,0,1,0,0,0,0,0,0,0
R000135,female,2,rural,none,0,0,0,0,1,0,0,0,0,1,0
R000136,male,5,urban,none,1,2,0,0,0,0,0,0,0,0,1
R000137,female,1,urban,secondary,1,12,0,0,0,0,0,0,0,0,0
R000138,female,4,urban,primary,1,1,1,0,0,0,0,0,0,1,0
R000139,male,1,rural,primary,1,12,0,0,0,0,0,0,0,1,0
R000140,male,4,rural,secondary,0,0,0,0,1,0,0,0,0,0,1
R000141,male,4,urban,primary,1,5,1,0,0,0,0,0,0,1,1
R000142,female,1,rural,primary,0,0,0,0,1,0,0,1,0,1,0
R000143,male,5,urban,secondary,1,0,1,0,0,0,0,0,0,1,1
R000144,male,3,rural,tertiary,1,12,0,0,0,0,0,0,0,1,0
R000145,female,1,rural,secondary,1,5,0,0,0,0,0,0,0,0,0
R000146,female,5,urban,primary,1,2,0,1,0,0,0,0,0,1,1
R000147,male,2,urban,none,0,0,0,0,0,0,0,0,0,0,1
R000148,female,1,urban,secondary,1,5,0,0,0,0,0,0,0,0,0
R000149,female,2,rural,secondary,1,12,0,1,0,0,0,0,0,0,0
R000150,female,3,urban,tertiary,1,5,1,0,0,0,0,0,0,1,0
R000151,female,1,urban,primary,1,5,0,0,0,0,0,0,0,0,0
R000152,female,3,urban,primary,1,5,0,1,0,0,0,0,0,0,1
R000153,male,4,rural,tertiary,1,12,1,1,0,0,0,0,0,1,1
R000154,male,4,urban,secondary,1,5,1,0,0,0,0,0,0,1,1
R000155,male,2,urban,none,1,5,0,0,0,0,0,0,0,1,0
R000156,male,5,rural,primary,1,5,1,1,0,0,0,0,0,1,1
R000157,female,2,urban,secondary,1,12,1,0,0,0,0,0,0,0,1
R000158,male,3,urban,secondary,1,0,0,0,0,0,0,0,0,0,1
R000159,female,1,urban,tertiary,1,2,0,0,0,0,0,0,0,0,0
R000160,male,4,urban,secondary,1,1,0,1,0,0,0,0,0,1,1
R000161,female,5,rural,primary,0,0,0,0,1,0,1,0,0,1,1
R000162,female,1,urban,primary,0,0,0,0,1,0,0,0,0,1,0
R000163,male,2,urban,tertiary,1,5,0,0,0,0,0,0,0,1,0
R000164,male,3,rural,secondary,1,0,0,0,0,0,0,0,0,0,0
R000165,male,4,rural,primary,1,5,0,1,0,0,0,0,0,0,1
R000166,male,1,urban,primary,1,5,0,0,0,0,0,0,0,0,0
R000167,male,1,urban,primary,1,5,0,0,0,0,0,0,0,1,0
R000168,female,2,rural,secondary,0,0,0,0,0,0,1,1,0,1,0
R000169,female,2,urban,secondary,1,2,0,0,0,0,0,0,0,1,1
R000170,male,2,rural,secondary,0,0,0,0,0,1,1,0,1,1,1
R000171,female,1,urban,tertiary,1,1,0,0,0,0,0,0,0,1,0
R000172,male,3,urban,secondary,1,1,0,1,0,0,0,0,0,1,0
R000173,female,5,rural,secondary,1,30,1,0,0,0,0,0,0,0,1
R000174,male,3,rural,tertiary,1,1,0,1,0,0,0,0,0,0,0
R000175,female,3,rural,tertiary,0,0,0,0,0,1,0,1,0,1,0
R000176,male,3,rural,tertiary,1,1,1,1,0,0,0,0,0,1,1
R000177,female,4,rural,secondary,1,1,0,0,0,0,0,0,0,0,1
R000178,female,3,urban,primary,1,1,0,1,0,0,0,0,0,0,0
R000179,female,4,urban,secondary,1,0,1,1,0,0,0,0,0,1,1
R000180,male,4,urban,primary,0,0,0,0,1,0,1,1,1,0,1
R000181,female,3,urban,secondary,1,1,1,0,0,0,0,0,0,0,1
R000182,female,4,urban,secondary,1,5,0,0,0,0,0,0,0,1,1
R000183,male,1,urban,secondary,1,5,0,0,0,0,0,0,0,0,1
R000184,female,2,rural,secondary,1,12,0,0,0,0,0,0,0,1,1
R000185,female,5,rural,none,0,0,0,0,1,1,0,0,0,1,1
R000186,male,2,rural,tertiary,1,5,0,0,0,0,0,0,0,0,1
R000187,female,3,urban,secondary,1,0,1,1,0,0,0,0,0,0,1
R000188,male,4,urban,primary,1,30,0,1,0,0,0,0,0,0,1
R000189,male,5,urban,primary,1,0,0,0,0,0,0,0,0,1,1
R000190,female,1,urban,tertiary,1,5,0,0,0,0,0,0,0,0,1
R000191,male,3,urban,primary,1,5,1,1,0,0,0,0,0,1,0
R000192,male,5,rural,secondary,1,30,0,0,0,0,0,0,0,0,1
R000193,female,1,urban,secondary,1,12,0,0,0,0,0,0,0,0,0
R000194,male,5,urban,primary,1,1,0,0,0,0,0,0,0,0,1
R000195,male,1,urban,secondary,1,12,0,0,0,0,0,0,0,0,0
R000196,female,5,urban,tertiary,1,30,0,1,0,0,0,0,0,0,1
R000197,female,3,urban,tertiary,1,12,0,0,0,0,0,0,0,1,1
R000198,male,3,urban,tertiary,1,12,0,0,0,0,0,0,0,1,1
R000199,female,1,urban,tertiary,1,2,0,0,0,0,0,0,0,1,0
R000200,female,3,rural,primary,0,0,0,0,0,0,0,1,0,1,0
R000201,female,5,urban,secondary,1,0,0,0,0,0,0,0,0,1,1
R000202,female,4,urban,secondary,1,5,0,0,0,0,0,0,0,0,1
R000203,female,2,urban,secondary,1,5,0,0,0,0,0,0,0,1,0
R000204,male,4,rural,primary,1,1,1,0,0,0,0,0,0,0,1
R000205,female,2,urban,secondary,0,0,0,0,1,0,0,0,0,0,1
R000206,female,3,urban,none,1,5,0,0,0,0,0,0,0,1,0
R000207,female,3,urban,primary,0,0,0,0,0,0,1,1,0,0,1
R000208,female,5,urban,tertiary,1,12,0,1,0,0,0,0,0,1,1
R000209,female,4,urban,tertiary,1,12,1,0,0,0,0,0,0,0,1
R000210,male,1,urban,tertiary,1,12,0,0,0,0,0,0,0,0,1
R000211,female,5,urban,primary,0,0,0,0,1,0,0,1,0,0,1
R000212,female,1,rural,secondary,0,0,0,0,1,1,1,0,1,1,1
R000213,female,2,urban,secondary,1,2,1,0,0,0,0,0,0,1,1
R000214,female,2,urban,tertiary,0,0,0,0,0,0,1,0,1,1,1
R000215,female,2,urban,secondary,1,1,0,0,0,0,0,0,0,0,1
R000216,female,2,rural,primary,0,0,0,0,0,1,1,0,0,0,1
R000217,female,5,urban,primary,0,0,0,0,0,0,0,0,0,1,1
R000218,male,2,urban,secondary,1,5,0,0,0,0,0,0,0,0,1
R000219,male,2,urban,secondary,1,12,0,0,0,0,0,0,0,0,1
R000220,male,4,rural,none,0,0,0,0,1,1,0,0,0,1,0
R000221,female,5,urban,secondary,1,12,0,1,0,0,0,0,0,1,1
R000222,male,3,urban,secondary,0,0,0,0,1,1,1,0,0,0,1
R000223,female,2,rural,secondary,1,2,1,1,0,0,0,0,0,1,0
R000224,female,5,urban,primary,1,1,0,1,0,0,0,0,0,1,1
R000225,female,2,rural,primary,0,0,0,0,0,0,1,0,1,1,1
R000226,male,5,urban,secondary,1,5,0,1,0,0,0,0,0,1,1
R000227,male,2,rural,primary,0,0,0,0,0,1,1,0,1,1,0
R000228,female,5,urban,secondary,1,5,0,1,0,0,0,0,0,0,1
R000229,male,4,urban,secondary,1,1,1,1,0,0,0,0,0,1,1
R000230,male,2,urban,secondary,1,5,0,0,0,0,0,0,0,0,1
R000231,female,1,urban,secondary,1,2,1,1,0,0,0,0,0,0,0
R000232,female,3,rural,secondary,0,0,0,0,1,1,1,0,1,1,0
R000233,female,2,rural,secondary,1,1,1,0,0,0,0,0,0,0,1
R000234,male,1,rural,secondary,0,0,0,0,1,0,0,0,0,0,0
R000235,male,2,rural,secondary,1,12,0,0,0,0,0,0,0,0,0
R000236,female,1,urban,primary,1,2,0,0,0,0,0,0,0,1,0
R000237,female,2,rural,tertiary,1,1,0,0,0,0,0,0,0,0,0
R000238,male,1,rural,primary,0,0,0,0,0,0,0,0,0,1,0
R000239,female,3,rural,none,0,0,0,0,1,0,1,0,1,1,0
R000240,male,4,urban,secondary,1,0,0,1,0,0,0,0,0,1,1
R000241,female,4,urban,secondary,1,5,0,0,0,0,0,0,0,1,1
R000242,male,2,urban,tertiary,1,0,0,1,0,0,0,0,0,0,1
R000243,male,1,rural,primary,0,0,0,0,1,1,0,1,1,1,0
R000244,female,3,rural,none,0,0,0,0,1,1,0,1,0,0,0
R000245,female,1,urban,secondary,0,0,0,0,1,0,0,1,0,0,1
R000246,male,1,urban,none,0,0,0,0,1,0,0,1,1,0,0
R000247,female,1,rural,secondary,1,30,0,1,0,0,0,0,0,1,1
R000248,male,3,rural,secondary,1,12,0,1,0,0,0,0,0,1,0
R000249,male,2,urban,tertiary,0,0,0,0,1,1,0,0,0,0,0
R000250,male,1,rural,secondary,1,5,0,0,0,0,0,0,0,0,1
R000251,female,2,urban,none,0,0,0,0,1,0,0,0,0,1,1
R000252,male,2,urban,secondary,1,12,0,0,0,0,0,0,0,0,0
R000253,male,1,rural,secondary,0,0,0,0,1,1,0,0,0,1,0
R000254,male,1,rural,secondary,1,30,0,0,0,0,0,0,0,0,1
R000255,female,4,urban,tertiary,1,0,0,1,0,0,0,0,0,1,1
R000256,male,1,urban,primary,1,5,0,0,0,0,0,0,0,1,0
R000257,male,1,urban,none,0,0,0,0,1,0,1,1,0,0,0
R000258,male,4,urban,primary,1,5,1,1,0,0,0,0,0,1,1
R000259,male,1,rural,tertiary,0,0,0,0,1,0,1,0,1,0,1
R000260,female,3,urban,secondary,1,5,0,0,0,0,0,0,0,1,0
R000261,male,1,urban,secondary,1,2,0,0,0,0,0,0,0,0,1
R000262,male,4,rural,primary,1,1,0,1,0,0,0,0,0,0,0
R000263,female,5,rural,secondary,1,2,0,1,0,0,0,0,0,1,1
R000264,male,1,urban,secondary,0,0,0,0,1,0,1,0,0,0,1
R000265,female,1,urban,secondary,1,1,0,0,0,0,0,0,0,0,0
R000266,male,1,urban,primary,1,1,0,0,0,0,0,0,0,0,1
R000267,male,2,urban,primary,1,5,0,1,0,0,0,0,0,0,1
R000268,female,2,rural,primary,0,0,0,0,0,1,1,0,0,1,0
R000269,female,3,rural,secondary,1,12,1,1,0,0,0,0,0,0,1
R000270,female,5,rural,primary,1,2,1,0,0,0,0,0,0,0,1
R000271,female,3,urban,primary,1,1,0,1,0,0,0,0,0,0,1
R000272,female,2,urban,none,1,1,0,0,0,0,0,0,0,0,0
R000273,male,4,rural,secondary,1,5,0,0,0,0,0,0,0,1,1
R000274,female,2,urban,tertiary,1,0,0,0,0,0,0,0,0,0,0
R000275,male,1,rural,primary,0,0,0,0,0,1,0,1,0,0,0
R000276,male,4,urban,secondary,1,5,0,1,0,0,0,0,0,0,0
R000277,male,3,urban,tertiary,1,5,0,0,0,0,0,0,0,1,1
R000278,female,3,urban,tertiary,1,1,0,0,0,0,0,0,0,0,1
R000279,female,3,rural,secondary,0,0,0,0,0,0,1,0,1,1,1
R000280,female,1,rural,secondary,0,0,0,0,0,1,0,0,0,0,1
R000281,male,1,urban,secondary,1,5,0,0,0,0,0,0,0,0,0
R000282,male,1,rural,tertiary,0,0,0,0,1,0,0,1,0,1,0
R000283,female,5,urban,secondary,1,12,0,1,0,0,0,0,0,1,1
R000284,female,1,urban,secondary,0,0,0,0,0,0,0,0,0,1,1
R000285,male,3,rural,primary,1,12,0,1,0,0,0,0,0,0,1
R000286,female,2,rural,secondary,0,0,0,0,1,0,0,0,1,0,1
R000287,male,1,urban,primary,1,5,0,0,0,0,0,0,0,1,1
R000288,female,1,urban,tertiary,1,2,0,0,0,0,0,0,0,0,0
R000289,female,1,urban,primary,1,12,0,0,0,0,0,0,0,0,0
R000290,female,3,urban,tertiary,1,2,0,0,0,0,0,0,0,1,1
R000291,female,4,rural,none,1,5,0,0,0,0,0,0,0,1,0
R000292,male,2,urban,tertiary,1,12,0,1,0,0,0,0,0,0,0
R000293,female,5,rural,secondary,1,1,0,1,0,0,0,0,0,0,0
R000294,male,1,urban,tertiary,1,30,0,0,0,0,0,0,0,1,0
R000295,male,1,urban,secondary,1,1,0,0,0,0,0,0,0,0,0
R000296,male,2,urban,primary,1,12,0,0,0,0,0,0,0,0,1
R000297,female,3,urban,secondary,1,5,0,1,0,0,0,0,0,1,1
R000298,male,4,urban,tertiary,1,1,0,0,0,0,0,0,0,0,1
R000299,male,2,urban,secondary,1,1,0,1,0,0,0,0,0,0,1
R000300,male,2,urban,secondary,1,1,0,0,0,0,0,0,0,0,0
R000301,male,3,urban,primary,1,1,0,0,0,0,0,0,0,1,1
R000302,male,4,urban,secondary,1,5,1,0,0,0,0,0,0,1,1
R000303,female,1,urban,secondary,1,12,0,0,0,0,0,0,0,1,0
R000304,male,3,urban,secondary,1,5,0,0,0,0,0,0,0,0,1
R000305,female,2,urban,secondary,0,0,0,0,1,0,0,0,1,1,0
R000306,female,5,rural,secondary,1,2,1,1,0,0,0,0,0,1,0
R000307,female,1,urban,secondary,0,0,0,0,1,0,0,0,1,1,0
R000308,male,5,urban,secondary,1,2,1,0,0,0,0,0,0,0,1
R000309,male,3,rural,secondary,1,5,0,1,0,0,0,0,0,1,1
R000310,female,4,urban,primary,1,1,0,0,0,0,0,0,0,0,1
R000311,female,4,rural,tertiary,1,1,1,1,0,0,0,0,0,0,0
R000312,female,3,urban,none,1,12,0,0,0,0,0,0,0,1,1
R000313,female,4,urban,tertiary,1,30,1,0,0,0,0,0,0,1,0
R000314,female,2,urban,tertiary,1,1,0,0,0,0,0,0,0,0,1
R000315,female,4,rural,secondary,1,1,0,1,0,0,0,0,0,1,0
R000316,female,4,urban,secondary,1,5,0,1,0,0,0,0,0,0,1
R000317,female,1,urban,none,0,0,0,0,0,0,0,0,1,0,1
R000318,female,2,rural,primary,0,0,0,0,1,1,0,0,1,0,0
R000319,female,5,urban,primary,0,0,0,0,0,0,1,0,1,1,1
R000320,female,2,rural,none,0,0,0,0,1,0,1,0,0,0,1
R000321,male,2,urban,secondary,1,1,0,0,0,0,0,0,0,1,0
R000322,male,2,rural,primary,0,0,0,0,1,0,1,1,1,1,1
R000323,female,3,urban,secondary,1,0,0,1,0,0,0,0,0,0,1
R000324,female,3,rural,tertiary,1,1,1,0,0,0,0,0,0,0,1
R000325,female,1,rural,primary,0,0,0,0,1,1,1,0,0,1,0
R000326,female,4,urban,tertiary,1,1,0,1,0,0,0,0,0,1,0
R000327,female,4,urban,secondary,0,0,0,0,1,0,0,0,0,0,1
R000328,male,1,rural,primary,0,0,0,0,0,0,0,1,1,1,1
R000329,male,4,rural,primary,0,0,0,0,1,1,1,1,1,0,0
R000330,male,3,urban,tertiary,1,2,0,0,0,0,0,0,0,1,1
R000331,female,2,rural,secondary,0,0,0,0,1,0,1,0,1,0,0
R000332,male,1,urban,primary,0,0,0,0,1,0,0,0,1,0,0
R000333,female,4,urban,primary,1,5,1,1,0,0,0,0,0,1,1
R000334,female,3,rural,primary,1,1,0,0,0,0,0,0,0,1,1
R000335,female,2,urban,secondary,1,5,0,1,0,0,0,0,0,0,1
R000336,female,4,rural,primary,1,5,1,1,0,0,0,0,0,1,0
R000337,male,1,rural,primary,0,0,0,0,1,1,0,0,1,0,0
R000338,male,3,rural,secondary,1,30,1,0,0,0,0,0,0,1,1
R000339,male,4,urban,secondary,1,1,0,0,0,0,0,0,0,1,1
R000340,male,5,urban,secondary,0,0,0,0,0,0,1,0,0,1,1
R000341,female,4,rural,primary,0,0,0,0,0,0,0,0,1,1,1
R000342,female,3,rural,secondary,0,0,0,0,1,0,1,1,1,1,0
R000343,male,2,rural,tertiary,1,12,0,0,0,0,0,0,0,1,1
R000344,male,1,rural,primary,1,1,0,0,0,0,0,0,0,1,0
R000345,female,4,urban,tertiary,1,12,0,0,0,0,0,0,0,1,1
R000346,male,2,rural,tertiary,1,30,0,0,0,0,0,0,0,0,1
R000347,female,3,rural,tertiary,1,30,0,0,0,0,0,0,0,0,0
R000348,male,4,rural,primary,1,5,1,1,0,0,0,0,0,1,1
R000349,female,3,urban,secondary,1,2,0,1,0,0,0,0,0,1,1
R000350,female,5,rural,secondary,1,5,1,0,0,0,0,0,0,1,1
R000351,female,1,urban,secondary,1,1,0,0,0,0,0,0,0,1,1
R000352,female,4,urban,tertiary,1,30,1,0,0,0,0,0,0,1,0
R000353,male,3,rural,secondary,1,30,0,0,0,0,0,0,0,1,1
R000354,male,4,urban,secondary,1,0,0,1,0,0,0,0,0,1,0
R000355,female,5,urban,none,1,5,0,0,0,0,0,0,0,1,1
R000356,male,4,rural,secondary,1,30,0,1,0,0,0,0,0,1,1
R000357,female,1,rural,secondary,0,0,0,0,1,1,1,0,1,1,0
R000358,male,3,rural,secondary,1,5,1,0,0,0,0,0,0,1,0
R000359,female,1,rural,secondary,1,5,0,0,0,0,0,0,0,1,0
R000360,male,3,rural,primary,1,30,0,0,0,0,0,0,0,1,0
R000361,male,3,urban,none,1,5,0,1,0,0,0,0,0,0,0
R000362,female,2,rural,secondary,1,1,0,1,0,0,0,0,0,1,0
R000363,male,4,rural,tertiary,1,5,1,1,0,0,0,0,0,1,0
R000364,female,2,urban,secondary,1,5,0,0,0,0,0,0,0,1,1
R000365,female,3,urban,primary,1,2,1,1,0,0,0,0,0,1,0
R000366,female,4,urban,secondary,1,2,0,1,0,0,0,0,0,1,1
R000367,male,4,rural,primary,1,1,0,1,0,0,0,0,0,1,1
R000368,female,1,rural,secondary,0,0,0,0,0,0,0,0,1,0,0
R000369,female,4,rural,primary,1,5,0,0,0,0,0,0,0,0,0
R000370,male,3,urban,secondary,1,1,0,0,0,0,0,0,0,0,0
R000371,female,2,urban,secondary,1,2,1,1,0,0,0,0,0,0,1
R000372,female,2,urban,tertiary,1,5,0,0,0,0,0,0,0,0,1
R000373,male,1,rural,primary,0,0,0,0,0,0,1,0,0,1,0
R000374,female,2,rural,secondary,1,1,1,0,0,0,0,0,0,1,1
R000375,female,4,urban,primary,1,5,0,0,0,0,0,0,0,1,1
