source_row,split
1092,train
1093,test
1094,train
1095,train
1096,train
1097,train
1098,test
1099,test
1100,train
1101,train
1102,train
1103,validation
1104,train
1105,train
1106,train
1107,validation
1108,train
1109,train
1110,train
1111,train
1112,validation
1113,train
1115,train
1116,train
1117,train
1118,test
1119,train
1120,train
1121,train
1122,test
1123,train
1124,test
1125,train
1126,train
1127,train
1128,train
1129,train
1130,test
1131,test
1132,test
1133,train
1134,train
1135,train
1136,train
1137,train
1139,train
1140,train
1141,train
1142,train
1143,train
1144,validation
1145,train
1146,test
1147,train
1148,validation
1149,train
1150,train
1151,train
1152,train
1153,train
1154,train
1155,train
1156,test
1157,train
1158,train
1159,train
1160,test
1161,train
1163,train
1164,validation
1165,train
1166,train
1167,train
1168,train
1169,train
1170,train
1171,train
1172,validation
1173,train
1174,train
1175,test
1176,train
1177,train
1178,train
1179,test
1180,train
1181,train
1182,train
1183,test
1184,train
1185,train
1187,train
1188,train
1189,train
1190,test
1191,train
1192,train
1193,train
1194,train
1195,test
1196,test
1197,train
1198,train
1199,train
1200,test
1201,validation
1202,train
1203,train
1204,train
1205,train
1206,validation
1207,train
1208,train
1209,validation
1211,train
1212,train
1213,train
1214,train
1215,train
1216,train
1217,test
1218,train
1219,train
1220,train
1221,train
1222,train
1223,train
1224,train
1225,train
1226,train
1227,validation
1228,test
1229,train
1230,test
1231,train
1232,train
1233,train
1235,test
1236,validation
1237,train
1238,test
1239,train
1240,validation
1241,validation
1242,train
1243,train
1244,train
1245,train
1246,train
1247,train
1248,validation
1249,train
1250,train
1251,train
1252,validation
1253,validation
1254,train
1255,train
1256,train
1257,train
1259,train
1260,train
1261,train
1262,train
1263,train
1264,train
1265,train
1266,validation
1267,train
1268,validation
1269,test
1270,train
1271,train
1272,train
1273,train
1274,test
1275,train
1276,train
1277,validation
1278,train
1279,train
1280,train
1281,test
1283,test
1284,train
1285,train
1286,train
1287,train
1288,train
1289,train
1290,train
1291,test
1292,train
1293,test
1294,train
1295,test
1296,train
1297,test
1298,test
1299,train
1300,validation
1301,train
1302,train
1303,train
1304,train
1305,validation
1307,validation
1308,validation
1309,train
1310,train
1311,train
1312,test
1313,test
1314,train
1315,test
1316,validation
1317,train
1318,test
1319,train
1320,test
1321,validation
1322,train
1323,validation
1324,train
1325,train
1326,train
1327,train
1328,train
1329,test
1331,test
1332,validation
1333,train
1335,train
1336,train
1337,test
1338,train
1339,train
1340,train
1341,train
1342,train
1343,train
1344,train
1345,train
1346,train
1347,train
1348,train
1349,validation
1350,test
1351,test
1352,train
1353,train
1355,validation
1356,validation
1357,train
1358,train
1359,train
1360,train
1361,validation
1362,train
1363,test
1364,test
1365,train
1366,train
1367,test
1368,train
1369,test
1370,train
1371,train
1372,train
1373,train
1374,test
1375,train
1376,train
1377,train
1379,test
1380,train
1381,test
1382,train
1383,train
1384,train
1385,train
1386,validation
1387,validation
1388,train
1389,train
1390,train
1391,train
1392,train
1393,validation
1394,train
1395,train
1396,train
1397,test
1398,train
1399,train
1400,train
1455,train
1456,train
1457,train
1458,train
1459,train
1460,test
1461,validation
1462,train
1463,train
1464,train
1465,train
1466,train
1467,train
1468,train
1469,train
1470,train
1471,train
1472,train
1473,train
1475,validation
1476,train
1477,test
1478,train
1479,train
1480,train
1481,train
1482,validation
1483,train
1484,train
1485,train
1486,test
1487,train
1488,train
1489,train
1490,train
1491,validation
1492,train
1493,train
1494,test
1495,train
1496,test
1497,train
1499,train
1500,train
1501,train
1502,validation
1503,train
1504,test
1505,train
1506,validation
1507,validation
1508,test
1509,validation
1510,validation
1511,train
1512,train
1513,train
1514,train
1515,test
1516,train
1517,validation
1518,train
1519,train
1520,validation
1521,train
1523,validation
1524,train
1525,train
1526,train
1527,validation
1528,test
1529,train
1530,validation
1531,train
1532,validation
1533,train
1534,validation
1535,train
1536,validation
1537,train
1538,validation
1539,train
1540,train
1541,train
1542,train
1543,train
1544,validation
1545,validation
1547,train
1548,validation
1549,train
1551,train
1552,validation
1553,train
1554,train
1555,train
1556,validation
1557,test
1558,validation
1559,train
1560,test
1561,train
1562,validation
1563,test
1564,train
1565,train
1566,train
1567,train
1568,train
1569,train
1571,train
1572,train
1573,validation
1574,train
1575,train
1576,train
1577,train
1578,train
1579,train
1580,test
1581,train
1582,test
1583,train
1584,train
1585,train
1586,train
1587,train
1588,train
1589,train
1590,train
1591,validation
1592,train
1593,train
1595,train
1596,train
1597,train
1598,train
1599,train
1600,test
1601,train
1602,validation
1603,train
1604,train
1605,train
1606,train
1607,validation
1608,train
1609,train
1610,train
1611,test
1612,train
1613,train
1614,train
1615,train
1616,validation
1617,train
1619,train
1620,train
1621,validation
1622,train
1623,train
1624,train
1625,train
1626,train
1627,test
1628,train
1629,train
1630,train
1631,train
1632,train
1633,train
1634,train
1635,test
1636,train
1637,test
1638,validation
1639,train
1640,train
1641,train
1643,validation
1644,train
1645,train
1646,validation
1647,train
1648,train
1649,train
1650,train
1651,test
1652,train
1653,train
1654,train
1655,train
1656,test
1657,train
1658,validation
1659,train
1660,train
1661,validation
1662,test
1663,validation
1664,test
1665,train
1667,train
1668,train
1669,train
1670,test
1671,train
1672,test
1673,train
1674,train
1675,train
1676,train
1677,validation
1678,train
1679,train
1680,train
1681,validation
1682,test
1683,train
1684,train
1685,train
1686,train
1687,test
1688,train
1689,train
1691,train
1692,train
1693,train
1694,train
1695,test
1696,train
1697,validation
1698,train
1699,train
1700,validation
1701,train
1702,train
1703,test
1704,train
1705,test
1706,train
1707,train
1708,train
1709,train
1710,train
1711,train
1712,train
1713,test
1715,test
1716,validation
1717,test
1718,validation
1719,test
1720,train
1721,train
1722,train
1723,validation
1724,train
1725,train
1726,train
1727,validation
1728,train
1729,test
1730,train
1731,train
1732,train
1733,train
1734,train
1735,train
1736,train
1737,validation
1739,train
1740,train
1741,train
1742,validation
1743,validation
1744,train
1745,test
1746,train
1747,train
1748,train
1749,train
1750,test
1751,validation
1752,test
1753,train
1754,train
1755,validation
1756,test
1757,validation
1758,train
1759,validation
1760,train
1761,test
1763,train
1764,train
1765,test
1766,test
1767,test
1768,train
1769,validation
1770,train
1771,test
1772,test
1773,train
1774,train
1775,test
1776,validation
1777,train
1778,train
1779,test
1780,train
1781,train
1782,test
1783,train
1784,validation
1787,train
1788,train
1789,train
1790,train
1791,test
1792,train
1793,train
1794,test
1795,train
1796,train
1797,train
1798,train
1799,test
1800,validation
1801,train
1802,validation
1803,train
1804,train
1805,train
1806,train
1807,train
1811,train
1812,train
1813,train
1814,train
1815,train
1816,test
1817,train
1818,test
1819,validation
1820,train
1839,train
1840,validation
1841,train
1842,train
1843,train
1844,train
1845,train
1846,test
1893,train
1894,train
1895,validation
1896,train
1897,train
1898,validation
1899,train
1900,test
1901,train
1902,validation
1903,test
1904,train
1905,train
1908,train
1909,train
1910,train
1911,train
1912,train
1913,train
1914,train
1915,test
1916,test
1917,train
1918,validation
1919,train
1920,train
1921,train
1922,train
1923,train
1924,validation
1925,train
1926,test
1927,train
1928,test
1929,validation
1931,validation
1932,test
1933,test
1934,train
1935,train
1936,train
1937,train
1938,train
1939,train
1940,train
1941,train
1942,train
1943,train
1944,train
1945,train
1946,train
1947,train
1948,train
1949,train
1950,train
1951,validation
1956,train
1957,validation
1958,validation
1959,train
1960,train
1961,test
1962,train
1963,train
1964,train
1965,test
1966,test
1967,test
1968,train
1969,train
1970,train
1971,train
1972,validation
1973,train
1974,train
1979,test
1980,validation
1981,train
1982,train
1983,validation
1984,test
1985,validation
1986,train
1987,validation
1988,test
1989,test
1990,train
1991,test
1992,validation
1993,train
1994,train
1995,validation
1996,train
1997,train
1998,train
2062,train
2063,train
2064,validation
2065,train
2066,train
2067,validation
2068,train
2069,test
2070,train
2071,test
2072,train
2073,train
2074,train
2075,test
2076,train
2077,train
2078,train
2079,train
2080,train
2081,train
2082,test
2083,train
2084,test
2085,train
2086,train
2087,train
2088,validation
2089,validation
2090,train
2091,train
2092,train
2093,train
2094,train
2095,test
2096,train
2097,test
2098,train
2099,train
2100,test
2101,train
2102,train
2103,train
2104,test
2105,validation
2106,validation
2107,validation
2108,train
2109,validation
2110,train
2111,train
2112,validation
2113,train
2114,train
2115,train
2116,train
2117,train
2118,train
2119,train
2120,train
2121,validation
2123,train
2124,validation
2125,train
2126,train
2127,train
2128,train
2129,train
2130,train
2131,train
2132,train
2133,test
2134,train
2135,train
2136,train
2137,train
2138,train
2139,validation
2140,test
2141,train
2142,validation
2143,train
2144,train
2145,train
2146,test
2147,test
2148,train
2149,train
2150,train
2151,train
2152,test
2153,train
2154,train
2155,test
2156,train
2157,train
2158,train
2159,validation
2160,validation
2161,validation
2162,validation
2163,train
2164,train
2165,train
2166,train
2167,validation
2168,train
2169,train
2170,train
2171,train
2172,train
2173,validation
2174,train
2175,train
2176,train
2177,train
2178,train
2179,train
2180,train
2181,train
2182,train
2183,train
2184,validation
2185,train
2186,train
2187,train
2188,train
2189,validation
2190,train
2191,validation
2192,validation
2193,test
2195,train
2196,train
2197,test
2198,train
2199,train
2200,train
2201,train
2202,train
2203,train
2204,train
2205,train
2206,train
2207,train
2208,train
2209,validation
2210,train
2211,test
2212,validation
2213,train
2214,train
2215,train
2216,train
2217,validation
2218,train
2219,validation
2220,test
2221,test
2222,train
2223,validation
2225,train
2226,train
2227,train
2228,train
2229,test
2230,train
2231,train
2232,test
2233,validation
2234,train
2235,train
2236,test
2237,train
2238,train
2239,test
2240,train
2241,train
2242,train
2243,train
2244,train
2245,train
2246,train
2247,validation
2248,train
2249,train
2250,validation
2251,train
2252,test
2253,train
2254,train
2255,train
2256,train
2257,validation
2258,train
2259,train
2260,test
2261,train
2262,train
2263,train
2264,train
2265,test
2266,train
2267,test
2268,train
2269,train
2270,train
2271,train
2272,train
2273,train
2274,validation
2275,test
2276,train
2277,train
2278,validation
2279,train
2280,train
2281,validation
2282,validation
2283,train
2284,train
2285,test
2286,train
2287,validation
2288,train
2289,train
2291,train
2292,train
2293,train
2294,validation
2295,train
2296,test
2297,train
2298,validation
2299,train
2300,validation
2301,train
2302,train
2303,train
2304,test
2305,train
2306,train
2307,train
2308,train
2309,train
2310,test
2311,train
2312,train
2313,validation
2314,train
2315,train
2316,train
2317,train
2318,train
2319,train
2320,train
2321,train
2322,train
2323,train
2324,train
2325,validation
2326,train
2327,train
2328,test
2329,train
2330,train
2331,train
2332,validation
2333,validation
2334,train
2335,train
2336,train
2337,test
2338,train
2339,train
2340,train
2341,train
2342,train
2343,train
2344,train
2345,train
2346,train
2347,train
2348,train
2349,train
2350,train
2351,test
2352,test
2353,test
2354,train
2355,test
2356,train
2357,validation
2358,train
2359,train
2360,test
2361,train
2363,validation
2364,validation
2365,validation
2366,test
2367,train
2368,train
2369,train
2370,validation
2371,train
2372,train
2373,train
2374,test
2375,train
2376,test
2377,test
2378,train
2379,train
2380,validation
2381,train
2382,validation
2383,train
2384,train
2385,test
2386,train
2387,validation
2388,test
2389,train
2390,train
2391,test
2392,train
2393,train
2394,train
2395,train
2396,validation
2397,train
2398,train
2399,validation
2400,train
2401,train
2402,train
2403,train
2404,train
2405,train
2406,validation
2407,train
2408,train
2409,test
2410,validation
2411,train
2412,validation
2413,validation
2414,train
2415,test
2416,test
2417,train
2418,train
2419,train
2458,test
2459,train
2460,test
2461,train
2462,train
2463,train
2464,train
2465,train
2466,test
2467,test
2468,train
2469,train
2470,train
2471,train
2472,test
2473,test
2474,train
2475,train
2476,train
2477,test
2478,train
2479,train
2480,train
2481,train
2482,train
2483,train
2484,validation
2485,train
2486,validation
2487,train
2488,test
2489,train
2490,train
2491,train
2492,train
2493,test
2494,train
2495,train
2496,validation
2497,test
2498,validation
2499,train
2500,train
2501,train
2502,train
2503,test
2504,train
2505,train
2507,train
2508,train
2509,train
2510,train
2511,test
2512,test
2513,train
2514,train
2515,train
2516,train
2517,train
2518,train
2519,train
2520,train
2521,train
2522,train
2523,train
2524,train
2525,validation
2526,train
2527,train
2528,train
2529,train
2530,train
2531,train
2532,train
2533,train
2534,train
2535,test
2536,train
2537,train
2538,train
2539,train
2540,train
2541,train
2542,train
2543,train
2544,train
2545,train
2546,train
2547,train
2548,train
2549,train
2550,train
2551,validation
2552,train
2553,validation
2554,train
2555,validation
2556,train
2557,test
2558,train
2559,train
2560,train
2561,train
2562,test
2563,train
2564,validation
2565,train
2566,train
2567,validation
2568,train
2569,test
2570,train
2571,train
2572,train
2573,train
2574,train
2575,test
2576,train
2577,train
2579,validation
2580,train
2581,train
2582,train
2583,train
2584,train
2585,train
2586,train
2587,train
2588,train
2589,train
2590,train
2591,test
2592,train
2593,train
2594,train
2595,train
2596,train
2597,validation
2598,train
2599,train
2600,train
2601,train
2602,train
2603,validation
2604,train
2605,train
2606,train
2607,train
2608,train
2609,train
2610,train
2611,test
2612,train
2613,train
2614,validation
2615,train
2616,train
2617,test
2618,train
2619,train
2620,train
2621,validation
2622,validation
2623,train
2624,train
2625,validation
2626,train
2627,train
2628,test
2629,validation
2630,train
2631,train
2632,validation
2633,train
2634,train
2635,train
2636,train
2637,train
2638,train
2639,train
2640,train
2641,test
2642,train
2643,train
2644,validation
2645,train
2646,test
2647,train
2648,validation
2649,validation
2651,train
2652,test
2653,test
2654,test
2655,train
2656,train
2657,train
2658,train
2659,test
2660,train
2661,test
2662,validation
2663,train
2664,train
2665,train
2666,test
2667,test
2668,validation
2669,train
2670,train
2671,train
2672,train
2673,test
2674,train
2675,train
2676,train
2677,test
2678,train
2679,train
2680,train
2681,train
2682,train
2683,train
2684,test
2685,train
2686,train
2687,train
2688,train
2689,train
2690,test
2691,train
2692,test
2693,train
2694,train
2695,train
2696,train
2697,train
2698,train
2699,validation
2700,train
2701,test
2702,train
2703,test
2704,train
2705,train
2706,train
2707,train
2708,test
2709,train
2710,train
2711,train
2712,validation
2713,test
2714,train
2715,train
2716,validation
2717,validation
2718,test
2719,validation
2720,train
2721,train
2723,train
2724,train
2725,test
2726,train
2727,validation
2728,train
2729,train
2730,train
2731,train
2732,train
2733,test
2734,train
2735,test
2736,train
2737,train
2738,train
2739,train
2740,train
2741,train
2742,test
2743,train
2744,test
2745,train
2746,validation
2747,train
2748,train
2749,train
2750,train
2751,test
2752,train
2753,train
2754,train
2755,train
2756,train
2757,validation
2758,train
2759,validation
2760,train
2761,train
2762,validation
2763,test
2764,train
2765,test
2766,train
2767,train
2768,train
2769,validation
2770,train
2771,train
2772,train
2773,train
2774,train
2775,train
2776,train
2777,train
2778,train
2779,train
2780,train
2781,validation
2782,train
2783,train
2784,train
2785,test
2786,train
2787,test
2788,validation
2789,train
2790,train
2791,train
2792,train
2793,train
2795,train
2796,train
2797,test
2798,train
2799,train
2800,test
2801,validation
2802,train
2803,test
2804,train
2805,test
2806,train
2807,train
2808,train
2809,validation
2810,validation
2811,train
2812,validation
2813,validation
2814,train
2815,train
2816,train
2817,validation
2818,train
2819,train
2820,test
2821,validation
2822,train
2823,train
2824,validation
2825,test
2826,train
2827,train
2828,test
2829,train
2830,train
2831,train
2832,train
2833,train
2834,train
2835,validation
2836,test
2837,train
2838,test
2839,validation
2840,validation
2841,validation
2842,train
2843,validation
2844,train
2845,train
2846,train
2847,validation
2848,train
2849,test
2850,train
2851,train
2852,train
2853,validation
2854,validation
2855,validation
2856,train
2857,train
2858,train
2859,train
2860,train
2861,train
2862,train
2863,train
2864,train
2865,validation
2867,train
2868,train
2869,train
2870,train
2871,validation
2872,train
2873,train
2874,train
2875,validation
2876,validation
2877,train
2878,train
2879,train
2880,train
2881,train
2882,test
2883,validation
2884,train
2885,train
2886,test
2887,train
2888,train
2889,train
2890,train
2891,train
2892,validation
2893,train
2894,train
2895,test
2896,train
2897,train
2898,train
2899,train
2900,train
2901,train
2902,train
2903,train
2904,train
2905,train
2906,train
2907,train
2908,train
2909,train
2910,train
2911,train
2912,train
2913,test
2914,train
2915,train
2916,train
2917,train
2918,train
2919,train
2920,train
2921,train
2922,train
2923,train
2924,train
2925,train
2926,test
2927,validation
2928,train
2929,train
2930,validation
2931,train
2932,train
2933,train
2934,train
2935,train
2936,validation
2937,validation
2938,train
2939,train
2940,test
2941,train
2942,validation
2943,test
2944,test
2945,validation
2946,train
2947,train
2948,train
2949,train
2950,test
2951,test
2952,train
2953,test
2954,train
2955,validation
2956,test
2957,train
2958,train
2959,train
2960,train
2961,validation
2963,train
2964,train
2965,train
2966,train
2967,train
2968,train
2969,train
2970,test
2971,test
2972,train
2973,train
2974,train
2975,validation
2976,train
2977,train
2978,test
2979,test
2980,test
2981,train
2982,train
2983,train
2984,train
2985,train
2986,test
2987,train
2988,train
2989,train
2990,train
2991,train
2992,test
2993,train
2994,train
2995,train
2996,validation
2997,validation
2998,train
2999,train
3000,train
3001,validation
3002,train
3003,validation
3004,test
3005,train
3006,train
3007,train
3008,train
3009,test
3010,test
3011,train
3012,validation
3013,train
3014,train
3015,train
3016,test
3017,train
3018,train
3019,train
3020,test
3021,train
3022,train
3023,test
3024,train
3025,test
3026,test
3027,validation
3028,train
3029,train
3030,train
3031,test
3032,train
3033,train
3035,train
3036,train
3037,train
3038,test
3039,train
3040,train
3041,train
3042,train
3043,train
3044,train
3045,train
3046,train
3047,train
3048,train
3049,train
3050,validation
3051,train
3052,train
3053,test
3054,train
3055,train
3056,test
3057,validation
3058,train
3059,test
3060,train
3061,train
3062,validation
3063,test
3064,train
3065,train
3066,validation
3067,train
3068,train
3069,train
3070,train
3071,validation
3072,train
3073,test
3074,test
3075,train
3076,train
3077,train
3078,train
3079,train
3080,validation
3081,train
3082,validation
3083,validation
3084,train
3085,train
3086,train
3087,train
3088,train
3089,test
3090,test
3091,train
3092,train
3093,train
3094,train
3095,train
3096,train
3097,train
3098,train
3099,train
3100,train
3101,train
3102,train
3103,train
3104,train
3105,train
3107,train
3108,train
3109,train
3110,test
3111,validation
3112,train
3113,test
3114,train
3115,validation
3116,train
3117,test
3118,validation
3119,validation
3120,test
3121,test
3122,train
3123,validation
3124,train
3125,train
3126,validation
3127,train
3128,train
3130,train
3131,validation
3132,train
3133,train
3134,validation
3135,train
3136,train
3137,train
3192,train
3193,train
3194,test
3195,train
3196,train
3197,train
3198,train
3199,test
3200,train
3201,train
3202,train
3203,train
3204,train
3205,validation
3208,train
3209,train
3210,train
3211,train
3212,train
3213,test
3214,train
3215,train
3216,validation
3217,test
3218,test
3219,train
3220,validation
3221,test
3222,train
3223,train
3224,train
3225,test
3226,test
3227,validation
3228,train
3229,train
3230,train
3231,train
3232,train
3233,train
3234,train
3235,train
3236,validation
3237,train
3238,train
3239,validation
3240,train
3241,train
3242,train
3243,train
3244,test
3245,test
3246,validation
3247,train
3248,train
3249,test
3250,train
3251,validation
3252,validation
3253,train
3254,validation
3255,train
3256,train
3257,train
3258,train
3259,train
3260,validation
3261,test
3262,train
3263,train
3264,validation
3265,train
3266,train
3267,test
3268,train
3269,train
3270,train
3271,validation
3272,train
3273,train
3275,validation
3276,train
3277,test
3278,train
3279,validation
3280,train
3281,train
3282,validation
3283,validation
3284,train
3285,train
3286,train
3287,test
3288,train
3289,train
3290,validation
3291,test
3292,train
3293,train
3294,train
3295,train
3296,test
3419,test
3420,validation
3421,train
3422,train
3423,train
3424,train
3425,train
3426,test
3427,validation
3428,test
3429,train
3430,train
3431,train
3432,train
3433,train
3434,train
3435,train
3436,validation
3437,train
3438,train
3439,train
3440,train
3441,train
3442,train
3443,validation
3444,train
3445,train
3446,train
3447,validation
3448,train
3449,validation
3450,train
3451,train
3452,train
3453,train
3454,train
3455,train
3456,train
3457,train
3458,train
3459,train
3460,train
3461,train
3462,test
3463,train
3464,train
3465,train
3466,train
3467,validation
3468,train
3469,test
3471,train
3472,train
3473,validation
3474,train
3475,validation
3476,train
3477,validation
3478,train
3479,train
3480,validation
3481,validation
3482,validation
3483,train
3484,train
3485,train
3486,validation
3563,train
3564,train
3565,train
3566,train
3567,train
3568,validation
3569,test
3570,train
3571,train
3572,train
3573,train
3574,train
3575,train
3576,validation
3577,train
3578,train
3579,train
3580,train
3581,train
3582,train
3583,train
3584,train
3585,train
3586,train
3587,test
3588,train
3589,train
3590,train
3591,train
3592,test
3593,validation
3594,train
3595,train
3596,train
3597,test
3598,train
3599,train
3600,test
3601,train
3602,train
3603,validation
3604,train
3605,test
3606,train
3607,train
3608,train
3609,train
3610,validation
3611,train
3612,train
3613,test
3614,train
3615,train
3616,test
3617,train
3618,validation
3619,train
3620,train
3621,train
3622,train
3623,test
3624,test
3625,validation
3626,train
3627,validation
3628,train
3629,train
3630,train
3631,validation
3632,train
3633,test
3635,test
3636,train
3637,train
3638,train
3639,validation
3640,train
3641,validation
3642,train
3643,train
3644,validation
3645,test
3650,validation
3651,train
3652,train
3653,validation
3654,test
3655,train
3656,train
3657,train
3658,test
3659,train
3660,train
3661,train
3662,test
3663,train
3664,train
3665,train
3666,train
3667,train
3668,train
