loan_id,grade,amount,term_months,interest_rate,defaulted,recovery_rate
L000131,B,7500,24,0.0844,0,0.0
L000132,B,500,36,0.083,0,0.0
L000133,E,500,12,0.1872,0,0.0
L000134,A,5000,60,0.0516,0,0.0
L000135,D,10000,36,0.152,0,0.0
L000136,B,500,60,0.081,0,0.0
L000137,D,10000,36,0.1539,1,0.362
L000138,D,10000,24,0.1509,0,0.0
L000139,B,2500,24,0.0777,0,0.0
L000140,C,1000,36,0.1133,0,0.0
L000141,C,5000,12,0.1126,1,0.361
L000142,A,5000,36,0.0583,0,0.0
L000143,C,500,36,0.1203,0,0.0
L000144,C,7500,12,0.1165,0,0.0
L000145,E,1000,24,0.1997,0,0.0
L000146,D,500,60,0.1431,1,0.3345
L000147,A,10000,36,0.0594,0,0.0
L000148,D,10000,60,0.1547,0,0.0
L000149,B,500,60,0.0676,0,0.0
L000150,C,500,12,0.1113,0,0.0
L000151,A,7500,24,0.0497,0,0.0
L000152,A,2500,36,0.0707,0,0.0
L000153,D,1000,60,0.1454,0,0.0
L000154,B,7500,24,0.0691,0,0.0
L000155,D,500,12,0.1478,1,0.1202
L000156,A,2500,24,0.0501,0,0.0
L000157,C,1000,12,0.1174,0,0.0
L000158,D,2500,12,0.155,0,0.0
L000159,B,7500,12,0.0735,0,0.0
L000160,C,500,60,0.1115,0,0.0
L000161,A,7500,12,0.0555,0,0.0
L000162,B,500,12,0.0827,0,0.0
L000163,A,500,36,0.0574,0,0.0
L000164,C,5000,24,0.1095,0,0.0
L000165,D,7500,24,0.1571,0,0.0
L000166,C,2500,36,0.1098,0,0.0
L000167,B,5000,36,0.0752,0,0.0
L000168,E,500,12,0.1911,0,0.0
L000169,A,500,12,0.0585,0,0.0
L000170,B,7500,12,0.0911,0,0.0
L000171,C,500,36,0.1102,0,0.0
L000172,C,2500,12,0.1061,0,0.0
L000173,B,7500,12,0.0882,0,0.0
L000174,E,5000,36,0.1949,0,0.0
L000175,B,5000,12,0.0784,0,0.0
L000176,D,10000,24,0.153,1,0.2007
L000177,B,2500,12,0.0666,0,0.0
L000178,B,500,24,0.0802,0,0.0
L000179,A,2500,12,0.0547,0,0.0
L000180,B,2500,36,0.0811,0,0.0
L000181,B,2500,60,0.0832,0,0.0
L000182,A,7500,36,0.0607,0,0.0
L000183,A,500,60,0.0545,0,0.0
L000184,B,10000,24,0.0743,0,0.0
L000185,D,7500,36,0.1586,0,0.0
L000186,A,500,12,0.0474,0,0.0
L000187,A,2500,12,0.0502,0,0.0
L000188,C,500,36,0.104,0,0.0
L000189,C,1000,36,0.1089,0,0.0
L000190,D,1000,60,0.1451,0,0.0
L000191,D,5000,60,0.1439,0,0.0
L000192,C,500,36,0.1177,0,0.0
L000193,C,2500,36,0.1109,1,0.2459
L000194,E,2500,60,0.1969,1,0.2737
L000195,B,5000,36,0.0822,0,0.0
L000196,E,5000,60,0.1992,0,0.0
L000197,D,10000,60,0.1579,0,0.0
L000198,B,1000,36,0.0834,0,0.0
L000199,A,7500,12,0.0571,0,0.0
L000200,E,10000,60,0.1969,0,0.0
L000201,A,2500,24,0.0529,0,0.0
L000202,D,2500,36,0.1484,0,0.0
L000203,D,10000,24,0.149,0,0.0
L000204,A,10000,24,0.064,0,0.0
L000205,C,10000,12,0.1118,1,0.1606
L000206,A,500,12,0.0499,0,0.0
L000207,C,10000,24,0.1135,0,0.0
L000208,B,1000,60,0.076,0,0.0
L000209,E,7500,24,0.2037,0,0.0
L000210,B,10000,12,0.0691,0,0.0
L000211,A,5000,60,0.0565,0,0.0
L000212,E,2500,36,0.1866,0,0.0
L000213,B,500,12,0.0846,0,0.0
L000214,B,5000,12,0.0804,0,0.0
L000215,B,500,60,0.0725,0,0.0
L000216,D,1000,36,0.1434,0,0.0
L000217,C,5000,60,0.1198,0,0.0
L000218,D,7500,60,0.1498,0,0.0
L000219,D,7500,60,0.14,1,0.2458
L000220,A,500,12,0.0525,0,0.0
L000221,D,1000,24,0.153,0,0.0
L000222,C,1000,60,0.1075,0,0.0
L000223,E,7500,60,0.1951,0,0.0
L000224,C,7500,36,0.1173,0,0.0
L000225,C,2500,12,0.1063,0,0.0
L000226,A,10000,24,0.0546,0,0.0
L000227,E,5000,36,0.1903,0,0.0
L000228,C,500,24,0.1111,0,0.0
L000229,B,2500,24,0.0739,0,0.0
L000230,B,2500,12,0.0845,0,0.0
L000231,D,10000,60,0.1413,1,0.332
L000232,D,500,60,0.1534,0,0.0
L000233,A,10000,12,0.0643,0,0.0
L000234,D,5000,12,0.1561,0,0.0
L000235,B,7500,36,0.0813,0,0.0
L000236,C,1000,24,0.1055,0,0.0
L000237,A,5000,24,0.0634,0,0.0
L000238,C,10000,36,0.1059,0,0.0
L000239,C,7500,24,0.1138,0,0.0
L000240,A,1000,24,0.0536,0,0.0
L000241,E,10000,12,0.1947,0,0.0
L000242,A,1000,12,0.0577,0,0.0
L000243,B,5000,60,0.0793,0,0.0
L000244,B,500,24,0.0786,0,0.0
L000245,B,500,24,0.0733,0,0.0
L000246,C,7500,24,0.1032,0,0.0
L000247,B,2500,36,0.0769,0,0.0
L000248,B,10000,12,0.0885,0,0.0
L000249,C,10000,60,0.1125,0,0.0
L000250,E,7500,60,0.1917,0,0.0
L000251,B,10000,60,0.075,0,0.0
L000252,B,10000,12,0.0955,0,0.0
L000253,D,7500,60,0.1402,0,0.0
L000254,E,2500,36,0.2102,0,0.0
L000255,B,2500,60,0.0785,0,0.0
L000256,B,500,12,0.0867,0,0.0
L000257,A,500,60,0.0521,0,0.0
L000258,A,2500,24,0.0501,0,0.0
L000259,D,10000,12,0.1471,0,0.0
L000260,B,7500,60,0.0771,0,0.0
L000261,D,1000,24,0.1445,1,0.1836
L000262,B,2500,24,0.0855,0,0.0
L000263,A,1000,60,0.0525,0,0.0
L000264,D,5000,36,0.1587,0,0.0
L000265,A,7500,24,0.0485,0,0.0
L000266,B,5000,60,0.0752,0,0.0
L000267,B,500,36,0.0739,0,0.0
L000268,C,5000,24,0.1064,0,0.0
L000269,C,5000,36,0.0934,0,0.0
L000270,D,2500,24,0.1494,0,0.0
L000271,E,500,12,0.196,0,0.0
L000272,A,2500,24,0.0525,0,0.0
L000273,D,10000,60,0.1432,1,0.2209
L000274,E,500,60,0.1888,0,0.0
L000275,A,500,12,0.0567,0,0.0
L000276,A,5000,60,0.0572,0,0.0
L000277,B,5000,24,0.0804,0,0.0
L000278,E,500,12,0.2031,0,0.0
L000279,D,7500,36,0.1483,0,0.0
L000280,A,5000,24,0.0615,0,0.0
L000281,E,5000,24,0.1934,0,0.0
L000282,A,7500,36,0.0685,0,0.0
L000283,C,5000,12,0.1076,0,0.0
L000284,C,500,24,0.1163,0,0.0
L000285,B,500,36,0.0659,0,0.0
L000286,D,10000,36,0.1453,0,0.0
L000287,B,5000,36,0.071,0,0.0
L000288,D,10000,60,0.1531,0,0.0
L000289,B,1000,36,0.0784,0,0.0
L000290,C,7500,24,0.1124,1,0.2517
L000291,D,7500,12,0.155,0,0.0
L000292,D,1000,24,0.1437,0,0.0
L000293,B,500,24,0.0844,0,0.0
L000294,C,2500,60,0.1063,0,0.0
L000295,C,1000,36,0.1108,0,0.0
L000296,D,1000,60,0.1602,0,0.0
L000297,A,10000,12,0.054,1,0.3636
L000298,C,10000,24,0.1112,0,0.0
L000299,D,2500,12,0.1489,0,0.0
L000300,C,10000,24,0.1276,0,0.0
L000301,A,10000,24,0.0437,0,0.0
L000302,B,2500,60,0.0774,0,0.0
L000303,B,7500,36,0.0799,0,0.0
L000304,B,5000,60,0.0739,0,0.0
L000305,E,500,60,0.1928,0,0.0
L000306,C,7500,24,0.107,0,0.0
L000307,C,5000,12,0.1062,0,0.0
L000308,C,1000,24,0.1126,0,0.0
L000309,A,1000,12,0.0582,0,0.0
L000310,B,10000,60,0.0797,0,0.0
L000311,A,500,36,0.0622,0,0.0
L000312,C,5000,24,0.1196,1,0.2793
L000313,B,500,36,0.0802,0,0.0
L000314,B,1000,36,0.082,0,0.0
L000315,E,500,60,0.1977,0,0.0
L000316,A,500,36,0.062,0,0.0
L000317,C,5000,12,0.1167,0,0.0
L000318,E,5000,60,0.187,1,0.1037
L000319,B,500,36,0.0814,0,0.0
L000320,B,5000,36,0.082,0,0.0
L000321,D,10000,24,0.1612,0,0.0
L000322,A,10000,24,0.0564,0,0.0
L000323,D,1000,36,0.1423,0,0.0
L000324,C,2500,12,0.1113,0,0.0
L000325,C,2500,36,0.1143,0,0.0
L000326,A,2500,24,0.0477,0,0.0
L000327,E,7500,12,0.1922,0,0.0
L000328,B,5000,60,0.0813,0,0.0
L000329,C,2500,36,0.1135,0,0.0
L000330,A,7500,12,0.0489,0,0.0
L000331,C,1000,12,0.1022,0,0.0
L000332,C,500,36,0.1156,0,0.0
L000333,C,7500,60,0.1047,0,0.0
L000334,E,7500,60,0.2016,0,0.0
L000335,A,10000,60,0.0526,0,0.0
L000336,A,7500,60,0.0607,0,0.0
L000337,B,1000,36,0.076,0,0.0
L000338,E,2500,36,0.1886,1,0.3433
L000339,C,7500,36,0.1123,0,0.0
L000340,A,5000,12,0.0548,0,0.0
L000341,A,5000,12,0.0452,0,0.0
L000342,B,1000,24,0.0808,0,0.0
L000343,B,2500,12,0.0761,0,0.0
L000344,C,10000,36,0.1164,0,0.0
L000345,A,10000,12,0.0538,0,0.0
L000346,D,10000,36,0.1443,0,0.0
L000347,C,500,12,0.1097,1,0.2323
L000348,A,500,12,0.0566,0,0.0
L000349,A,10000,36,0.0525,0,0.0
L000350,A,7500,12,0.0596,0,0.0
L000351,B,10000,36,0.0841,0,0.0
L000352,A,10000,24,0.0496,0,0.0
L000353,D,1000,36,0.1516,0,0.0
L000354,C,10000,24,0.1109,0,0.0
L000355,C,500,12,0.1222,0,0.0
L000356,B,10000,60,0.0827,0,0.0
L000357,A,5000,36,0.0642,0,0.0
L000358,D,2500,36,0.144,0,0.0
L000359,B,2500,24,0.0835,0,0.0
L000360,A,5000,12,0.0539,0,0.0
L000361,C,5000,36,0.1122,0,0.0
L000362,B,2500,60,0.0812,0,0.0
L000363,C,5000,12,0.1206,0,0.0
L000364,B,10000,60,0.0753,0,0.0
L000365,E,2500,36,0.1873,0,0.0
L000366,B,5000,12,0.0807,0,0.0
L000367,D,500,36,0.1404,0,0.0
L000368,D,5000,36,0.1425,1,0.4184
L000369,A,7500,36,0.0588,0,0.0
L000370,C,500,12,0.1207,0,0.0
L000371,C,2500,12,0.1071,0,0.0
L000372,B,1000,12,0.0844,0,0.0
L000373,C,5000,24,0.1107,0,0.0
L000374,E,1000,12,0.1989,0,0.0
L000375,A,500,24,0.0531,0,0.0
L000376,C,2500,12,0.1036,0,0.0
L000377,C,5000,60,0.1183,0,0.0
L000378,A,2500,36,0.05,0,0.0
L000379,C,1000,36,0.1009,0,0.0
L000380,B,5000,36,0.0868,0,0.0
L000381,A,500,36,0.0468,0,0.0
L000382,A,500,36,0.0585,0,0.0
L000383,C,500,36,0.1136,0,0.0
L000384,B,1000,12,0.0733,0,0.0
L000385,C,2500,12,0.1264,0,0.0
L000386,B,500,36,0.0827,0,0.0
L000387,B,5000,24,0.0677,0,0.0
L000388,D,10000,36,0.1418,0,0.0
L000389,B,500,12,0.0763,0,0.0
L000390,A,1000,36,0.063,0,0.0
L000391,B,500,12,0.081,0,0.0
L000392,C,2500,24,0.1179,0,0.0
L000393,E,7500,24,0.1974,0,0.0
L000394,C,7500,12,0.1091,0,0.0
L000395,B,500,24,0.0668,0,0.0
L000396,A,7500,24,0.0624,0,0.0
L000397,B,5000,12,0.0656,0,0.0
L000398,B,5000,60,0.0829,0,0.0
L000399,A,5000,12,0.06,0,0.0
L000400,B,7500,12,0.0913,0,0.0
L000401,C,1000,36,0.1136,0,0.0
L000402,A,5000,12,0.0561,0,0.0
L000403,E,10000,24,0.1994,0,0.0
L000404,C,7500,36,0.111,0,0.0
L000405,D,7500,12,0.1473,0,0.0
L000406,A,5000,36,0.0587,0,0.0
L000407,C,7500,36,0.1142,0,0.0
L000408,B,10000,12,0.0905,0,0.0
L000409,B,2500,60,0.0763,0,0.0
L000410,D,10000,24,0.1505,0,0.0
L000411,A,2500,60,0.0536,0,0.0
L000412,C,7500,60,0.119,0,0.0
L000413,A,2500,12,0.0499,0,0.0
L000414,A,10000,24,0.0529,0,0.0
L000415,B,10000,24,0.0863,1,0.2365
L000416,D,1000,24,0.1626,0,0.0
L000417,C,5000,24,0.1185,1,0.0
L000418,B,10000,36,0.0774,0,0.0
L000419,B,7500,24,0.0741,0,0.0
L000420,C,2500,36,0.1062,0,0.0
L000421,C,7500,60,0.1205,1,0.3031
L000422,A,5000,12,0.0556,0,0.0
L000423,B,7500,60,0.0796,0,0.0
L000424,D,500,12,0.1358,0,0.0
L000425,A,5000,24,0.0524,0,0.0
L000426,C,5000,36,0.115,0,0.0
L000427,C,2500,36,0.1174,0,0.0
L000428,D,5000,24,0.1398,0,0.0
L000429,B,10000,12,0.092,0,0.0
L000430,B,2500,36,0.0768,0,0.0
L000431,B,5000,36,0.0736,0,0.0
L000432,B,10000,24,0.0747,0,0.0
L000433,C,5000,12,0.1214,0,0.0
L000434,C,10000,60,0.1145,0,0.0
L000435,A,500,12,0.0527,0,0.0
L000436,C,500,36,0.1191,0,0.0
L000437,B,10000,60,0.0817,0,0.0
L000438,A,1000,60,0.0547,0,0.0
L000439,A,10000,60,0.0443,0,0.0
L000440,D,2500,24,0.1536,0,0.0
L000441,A,1000,12,0.0379,0,0.0
L000442,B,1000,12,0.0756,0,0.0
L000443,A,5000,36,0.0462,0,0.0
L000444,E,2500,24,0.1893,0,0.0
L000445,B,1000,36,0.0872,0,0.0
L000446,C,7500,36,0.1166,0,0.0
L000447,E,5000,12,0.197,1,0.0473
L000448,E,5000,60,0.1938,0,0.0
L000449,A,1000,12,0.0557,0,0.0
L000450,B,2500,12,0.0762,0,0.0
L000451,C,5000,60,0.1125,0,0.0
L000452,B,1000,12,0.0815,0,0.0
L000453,C,1000,36,0.1132,0,0.0
L000454,B,7500,24,0.087,0,0.0
L000455,D,5000,36,0.1366,0,0.0
L000456,C,500,60,0.1124,0,0.0
L000457,D,7500,60,0.1499,0,0.0
L000458,C,2500,60,0.116,0,0.0
L000459,A,500,36,0.0596,0,0.0
L000460,B,10000,60,0.0808,0,0.0
L000461,E,2500,12,0.2041,0,0.0
L000462,C,500,24,0.1168,0,0.0
L000463,A,2500,12,0.0633,0,0.0
L000464,D,5000,12,0.1474,0,0.0
L000465,B,10000,24,0.0688,0,0.0
L000466,B,7500,24,0.0782,0,0.0
L000467,B,500,60,0.0752,0,0.0
L000468,A,5000,60,0.059,0,0.0
L000469,B,7500,12,0.0955,0,0.0
L000470,B,2500,60,0.0786,0,0.0
L000471,B,500,24,0.0779,0,0.0
L000472,C,5000,60,0.1121,0,0.0
L000473,C,1000,36,0.1176,0,0.0
L000474,A,2500,24,0.0481,0,0.0
L000475,D,500,60,0.1352,0,0.0
L000476,C,10000,24,0.1164,0,0.0
L000477,C,7500,24,0.1184,0,0.0
L000478,E,10000,36,0.1799,0,0.0
L000479,E,2500,24,0.1914,0,0.0
L000480,E,2500,60,0.1931,0,0.0
L000481,A,1000,12,0.0573,0,0.0
L000482,C,5000,12,0.1062,0,0.0
L000483,B,5000,36,0.0866,0,0.0
L000484,D,500,12,0.1561,0,0.0
L000485,A,7500,24,0.0463,0,0.0
L000486,B,5000,36,0.0736,1,0.3239
L000487,B,10000,36,0.0721,0,0.0
L000488,D,2500,12,0.1478,0,0.0
L000489,C,2500,24,0.1091,0,0.0
L000490,D,500,36,0.1455,0,0.0
L000491,A,500,24,0.0557,0,0.0
L000492,A,2500,12,0.0585,0,0.0
L000493,D,7500,12,0.157,0,0.0
L000494,D,1000,12,0.1489,0,0.0
L000495,C,7500,12,0.1176,0,0.0
L000496,C,10000,36,0.1099,0,0.0
L000497,B,10000,24,0.0725,0,0.0
L000498,C,2500,60,0.1208,0,0.0
L000499,B,10000,36,0.0761,0,0.0
L000500,E,1000,60,0.192,0,0.0
L000501,C,10000,12,0.1056,0,0.0
L000502,C,7500,24,0.1123,0,0.0
L000503,C,2500,36,0.1183,0,0.0
L000504,D,500,24,0.1442,0,0.0
L000505,C,7500,12,0.1165,0,0.0
L000506,C,500,36,0.112,1,0.4533
L000507,B,10000,60,0.0882,0,0.0
L000508,A,10000,12,0.0541,0,0.0
L000509,B,7500,60,0.0904,0,0.0
L000510,D,10000,12,0.1442,0,0.0
L000511,B,5000,12,0.0747,0,0.0
L000512,B,2500,60,0.0804,0,0.0
L000513,C,7500,60,0.1081,0,0.0
L000514,C,10000,24,0.1059,0,0.0
L000515,D,7500,36,0.1499,0,0.0
L000516,C,2500,12,0.092,0,0.0
L000517,B,5000,24,0.0784,0,0.0
L000518,C,5000,24,0.1136,0,0.0
L000519,C,10000,36,0.1122,0,0.0
L000520,B,10000,24,0.0632,0,0.0
L000521,C,5000,24,0.1063,0,0.0
L000522,A,7500,36,0.0521,0,0.0
L000523,A,1000,36,0.0494,0,0.0
L000524,E,5000,12,0.1966,0,0.0
L000525,E,7500,36,0.1986,1,0.0674
L000526,B,1000,12,0.0864,0,0.0
L000527,E,7500,60,0.196,0,0.0
L000528,A,500,60,0.0514,0,0.0
L000529,D,7500,12,0.1505,0,0.0
L000530,B,10000,12,0.0749,0,0.0
L000531,C,7500,24,0.1151,0,0.0
L000532,A,7500,60,0.0538,0,0.0
L000533,E,10000,12,0.1818,0,0.0
L000534,B,7500,24,0.0746,0,0.0
L000535,C,7500,36,0.1064,0,0.0
L000536,C,2500,12,0.1119,1,0.0923
L000537,B,2500,24,0.0872,0,0.0
L000538,D,1000,24,0.1513,0,0.0
L000539,E,500,60,0.1947,0,0.0
L000540,C,5000,60,0.1069,0,0.0
L000541,D,500,60,0.1487,0,0.0
L000542,B,2500,12,0.0736,0,0.0
L000543,B,10000,24,0.0751,0,0.0
L000544,B,7500,36,0.0844,0,0.0
L000545,E,5000,24,0.1986,0,0.0
L000546,A,500,24,0.0543,0,0.0
L000547,B,2500,36,0.0737,0,0.0
L000548,C,10000,12,0.1175,0,0.0
L000549,B,5000,36,0.0838,0,0.0
L000550,D,5000,12,0.1515,0,0.0
L000551,B,5000,60,0.0749,0,0.0
L000552,C,5000,24,0.1097,0,0.0
L000553,A,2500,24,0.0594,0,0.0
L000554,C,5000,36,0.1209,0,0.0
L000555,D,5000,36,0.1542,0,0.0
L000556,C,1000,60,0.1061,0,0.0
L000557,B,5000,60,0.082,0,0.0
L000558,C,5000,36,0.1163,0,0.0
L000559,C,7500,60,0.1165,0,0.0
L000560,C,1000,36,0.1105,1,0.1035
L000561,B,1000,12,0.0736,0,0.0
L000562,C,1000,36,0.1221,0,0.0
L000563,C,500,24,0.1062,0,0.0
L000564,B,5000,24,0.0687,0,0.0
L000565,E,5000,36,0.1961,0,0.0
L000566,D,7500,12,0.1542,0,0.0
L000567,C,5000,24,0.1209,0,0.0
L000568,C,7500,12,0.1167,0,0.0
L000569,B,7500,60,0.0826,0,0.0
L000570,D,2500,12,0.1449,1,0.0968
L000571,B,10000,24,0.0805,0,0.0
L000572,A,10000,60,0.0561,0,0.0
L000573,A,1000,24,0.0536,0,0.0
L000574,A,10000,24,0.0519,0,0.0
L000575,C,10000,12,0.1238,0,0.0
L000576,D,7500,60,0.1561,0,0.0
L000577,E,10000,12,0.2021,0,0.0
L000578,C,7500,36,0.113,0,0.0
L000579,A,7500,12,0.0641,0,0.0
L000580,C,10000,60,0.1111,0,0.0
L000581,D,2500,24,0.1525,0,0.0
L000582,A,500,36,0.0582,0,0.0
L000583,B,10000,24,0.0812,0,0.0
L000584,B,7500,24,0.0829,0,0.0
L000585,B,10000,36,0.0627,0,0.0
L000586,D,500,60,0.1403,0,0.0
L000587,A,7500,36,0.0509,0,0.0
L000588,A,7500,36,0.0572,0,0.0
L000589,C,1000,12,0.1078,0,0.0
L000590,B,500,60,0.0878,0,0.0
L000591,D,10000,36,0.15,0,0.0
L000592,C,2500,24,0.1171,0,0.0
L000593,E,500,36,0.1952,0,0.0
L000594,C,1000,36,0.1211,0,0.0
L000595,D,1000,36,0.1496,0,0.0
L000596,B,7500,36,0.0765,0,0.0
L000597,C,500,12,0.1093,1,0.3958
L000598,B,7500,36,0.0783,0,0.0
L000599,B,5000,36,0.0756,0,0.0
L000600,C,5000,12,0.1107,0,0.0
L000601,C,7500,60,0.1015,0,0.0
L000602,B,1000,24,0.0694,1,0.2335
L000603,D,10000,12,0.1519,0,0.0
L000604,C,500,12,0.114,0,0.0
L000605,B,10000,24,0.0645,0,0.0
L000606,A,500,12,0.0619,0,0.0
L000607,B,7500,36,0.0772,1,0.2136
L000608,A,7500,36,0.0687,0,0.0
L000609,C,10000,36,0.1114,0,0.0
L000610,A,10000,24,0.0533,0,0.0
L000611,A,2500,24,0.0439,0,0.0
L000612,C,1000,60,0.0985,0,0.0
L000613,D,500,24,0.151,1,0.2953
L000614,B,7500,12,0.0788,0,0.0
L000615,C,10000,24,0.1101,0,0.0
L000616,C,5000,12,0.1145,0,0.0
L000617,A,2500,60,0.0475,0,0.0
L000618,A,1000,36,0.0667,0,0.0
L000619,C,500,24,0.1066,0,0.0
L000620,C,5000,36,0.1182,0,0.0
L000621,D,1000,24,0.1496,0,0.0
L000622,B,2500,12,0.0689,0,0.0
L000623,C,5000,36,0.1144,0,0.0
L000624,A,500,60,0.0719,0,0.0
L000625,D,500,12,0.1532,0,0.0
L000626,A,2500,60,0.0473,0,0.0
L000627,E,5000,24,0.1996,0,0.0
L000628,D,7500,24,0.1524,0,0.0
L000629,B,7500,60,0.0839,0,0.0
L000630,B,10000,36,0.0671,0,0.0
L000631,E,7500,36,0.1987,0,0.0
L000632,B,500,60,0.0727,0,0.0
L000633,B,5000,24,0.0799,0,0.0
L000634,A,500,24,0.0717,0,0.0
L000635,D,5000,24,0.1498,1,0.0
L000636,A,2500,60,0.0446,0,0.0
L000637,B,500,24,0.0781,0,0.0
L000638,B,7500,36,0.0888,0,0.0
