row_id,split
272,train
273,train
274,train
275,test
276,train
277,train
278,train
279,train
280,train
281,train
282,train
283,train
284,train
285,train
286,test
287,train
288,train
289,test
290,train
291,test
292,train
293,train
294,train
295,train
296,test
297,test
298,test
299,train
300,train
301,train
302,train
303,test
304,train
305,train
306,test
307,train
308,train
309,test
310,train
311,train
312,test
313,train
314,train
315,train
316,train
317,train
318,train
319,train
320,train
321,train
322,train
323,train
324,train
325,train
326,train
327,train
328,train
329,train
330,train
331,test
332,train
333,train
334,train
335,train
336,train
337,train
338,train
339,train
340,train
341,train
342,train
343,train
344,test
345,train
346,test
347,train
348,train
349,train
350,test
351,test
352,test
353,test
354,train
355,train
356,train
357,train
358,test
359,train
360,train
361,test
362,train
363,test
364,train
365,test
366,train
367,test
368,train
369,train
370,test
371,test
372,train
373,train
374,test
375,train
376,train
377,train
378,train
379,train
380,train
381,train
382,train
383,train
384,train
385,train
386,train
387,train
388,train
389,train
390,train
391,train
392,train
393,train
394,test
395,train
396,train
397,train
398,test
399,train
400,train
401,train
402,train
403,train
404,train
405,test
406,train
407,train
408,train
409,train
410,test
411,train
412,train
413,test
414,train
415,test
416,train
417,train
418,train
419,train
420,train
421,train
422,test
423,train
424,train
425,train
426,train
427,test
428,test
429,test
430,test
431,train
432,train
433,train
434,train
435,train
436,train
437,train
438,test
439,train
440,train
441,train
442,train
443,train
444,train
445,train
446,train
447,test
448,train
449,train
450,train
451,train
452,train
453,train
454,train
455,train
456,train
457,train
458,train
459,train
460,train
461,test
462,test
463,train
464,test
465,train
466,train
467,train
468,train
469,train
470,train
471,train
472,train
473,train
474,train
475,train
476,train
477,train
478,test
479,train
480,train
481,train
482,train
483,train
484,train
485,train
486,train
487,train
488,train
489,train
490,train
491,train
492,train
493,train
494,test
495,train
496,train
497,train
498,train
499,train
500,train
501,train
502,train
503,train
504,train
505,train
506,test
507,train
508,train
509,train
510,train
511,train
512,train
513,test
514,train
515,train
516,train
517,train
518,train
519,train
520,train
521,train
522,test
523,train
524,train
525,train
526,train
527,train
528,train
529,train
530,train
531,train
532,train
533,train
534,test
535,test
536,train
537,train
538,test
539,train
540,train
541,train
542,test
543,test
544,train
545,train
546,train
547,train
548,train
549,train
550,train
551,test
552,test
553,train
554,train
555,train
556,train
557,train
558,train
559,train
560,train
561,test
562,train
563,train
564,train
565,train
566,test
567,test
568,train
569,train
570,test
571,train
572,test
573,train
574,train
575,test
576,train
577,train
578,train
579,train
580,train
581,test
582,train
583,train
584,train
585,test
586,train
587,train
588,train
589,train
590,train
591,test
592,train
593,train
594,test
595,train
596,train
597,test
598,test
599,test
600,train
601,train
602,train
603,train
604,train
605,test
606,train
607,train
608,train
609,train
610,test
611,train
612,train
613,train
614,test
615,test
616,train
617,test
618,test
619,train
620,train
621,train
622,test
623,train
624,train
625,train
626,train
627,train
628,train
629,test
630,train
631,train
632,train
633,train
634,train
635,train
636,test
637,train
638,train
639,train
640,train
641,train
642,train
643,train
644,train
645,train
646,train
647,train
648,train
649,train
650,test
651,train
652,train
653,train
654,test
655,train
656,train
657,train
658,train
659,train
660,test
661,test
662,train
663,train
664,test
665,test
666,train
667,train
668,train
669,train
670,test
671,train
672,train
673,train
674,train
675,train
676,train
677,train
678,test
679,train
680,train
681,train
682,train
683,train
684,train
685,train
686,train
687,train
688,train
689,train
690,train
691,train
692,train
693,train
694,train
695,train
696,train
697,train
698,train
699,train
700,test
701,train
702,train
703,train
704,train
705,train
706,train
707,test
708,test
709,train
710,test
711,train
712,test
713,train
714,train
715,test
716,train
717,train
718,train
719,train
720,train
721,test
722,train
723,train
724,train
725,train
726,train
727,train
728,train
729,train
730,train
731,train
732,train
733,train
734,train
735,train
736,train
737,train
738,train
739,test
740,train
741,test
742,train
743,train
744,test
745,train
746,train
747,train
748,train
749,train
750,train
751,train
752,test
753,train
754,train
755,test
756,train
757,train
758,train
759,train
760,train
761,train
762,train
763,train
764,test
765,test
766,train
767,train
768,train
769,train
770,test
771,train
772,train
773,train
774,test
775,train
776,train
777,test
778,test
779,train
780,test
781,test
782,train
783,train
784,train
785,train
786,train
787,train
788,test
789,train
790,train
791,train
792,test
793,test
794,train
795,train
796,test
797,train
798,test
799,train
800,train
801,train
802,train
803,train
804,train
805,train
806,test
807,train
808,test
809,train
810,train
811,train
812,train
813,train
814,train
815,train
816,train
817,test
818,test
819,train
820,train
821,train
822,train
823,train
824,train
825,train
826,train
827,train
828,train
829,train
830,train
831,train
832,test
833,train
834,train
835,train
836,train
837,train
838,test
839,train
840,train
841,train
842,train
843,train
844,train
845,train
846,test
847,train
848,train
849,test
850,test
851,train
852,train
853,train
854,train
855,test
856,train
857,train
858,test
859,train
860,train
861,train
862,train
863,train
864,train
865,train
866,train
867,train
868,test
869,test
870,train
871,train
872,train
873,train
874,train
875,test
876,train
877,train
878,train
879,train
880,train
881,test
882,train
883,train
884,train
885,test
886,train
887,test
888,test
889,train
890,test
891,train
892,train
893,test
894,test
895,train
896,train
897,train
898,train
899,test
900,test
901,test
902,train
903,test
904,test
905,train
906,test
907,train
908,train
909,train
910,train
911,train
912,train
913,train
914,train
915,train
916,test
917,train
918,train
919,test
920,train
921,train
922,train
923,train
924,train
925,test
926,train
927,train
928,train
929,train
930,test
931,test
932,train
933,train
934,train
935,train
936,train
937,train
938,train
939,train
940,train
941,train
942,train
943,train
944,train
945,test
946,train
947,train
948,train
949,train
950,train
951,train
952,test
953,train
954,train
955,train
956,train
957,train
958,train
959,train
960,train
961,train
962,train
963,train
964,train
965,train
966,train
967,train
968,train
969,train
970,train
971,train
972,train
973,train
974,test
975,train
976,test
977,train
978,train
979,test
980,train
981,train
982,train
983,train
984,train
985,train
986,train
987,train
988,test
989,train
990,train
991,train
992,train
993,train
994,train
995,train
996,train
997,train
998,train
999,test
1000,train
1001,train
1002,train
1003,train
1004,train
1005,train
1006,train
1007,train
1008,train
1009,train
1010,train
1011,train
1012,train
1013,train
1014,train
1015,test
1016,train
1017,train
1018,train
1019,train
1020,train
1021,train
1022,train
1023,train
1024,test
1025,train
1026,train
1027,train
1028,train
1029,train
1030,train
1031,train
1032,test
1033,train
1034,train
1035,train
1036,train
1037,train
1038,train
1039,test
1040,train
1041,train
1042,train
1043,test
1044,train
1045,train
1046,train
1047,test
1048,test
1049,train
1050,train
1051,train
1052,test
1053,train
1054,train
1055,test
1056,train
1057,train
1058,train
1059,train
1060,train
1061,train
1062,train
1063,train
1064,train
1065,train
1066,train
1067,test
1068,train
1069,train
1070,train
1071,train
1072,train
1073,test
1074,test
1075,train
1076,train
1077,train
1078,test
1079,train
1080,train
1081,train
1082,train
1083,test
1084,train
1085,train
1086,train
1087,train
1088,train
1089,train
1090,train
1091,train
1092,test
1093,train
1094,train
1095,train
1096,train
1097,test
1098,test
1099,train
1100,train
1101,train
1102,train
1103,train
1104,train
1105,train
1106,train
1107,train
1108,test
1109,train
1110,train
1111,train
1112,train
1113,train
1114,test
1115,train
1116,train
1117,train
1118,test
1119,test
1120,train
1121,train
1122,test
1123,train
1124,train
1125,train
1126,train
1127,test
1128,train
1129,train
1130,train
1131,train
1132,train
1133,test
1134,train
1135,test
1136,train
1137,test
1138,train
1139,train
1140,train
1141,train
1142,train
1143,test
1144,train
1145,train
1146,train
1147,train
1148,train
1149,test
1150,train
1151,train
1152,train
1153,train
1154,train
1155,train
1156,train
1157,train
1158,train
1159,train
1160,train
1161,train
1162,train
1163,train
1164,train
1165,train
1166,train
1167,test
1168,train
1169,train
1170,train
1171,test
1172,train
1173,train
1174,train
1175,test
1176,test
1177,train
1178,train
1179,train
1180,train
1181,train
1182,test
1183,train
1184,train
1185,train
1186,train
1187,train
1188,train
1189,train
1190,train
1191,train
1192,test
1193,train
1194,train
1195,train
1196,train
1197,train
1198,train
1199,train
1200,train
1201,train
1202,test
1203,train
1204,train
1205,train
1206,train
1207,train
1208,train
1209,test
1210,train
1211,train
1212,test
1213,train
1214,train
1215,train
1216,train
1217,train
1218,train
1219,train
1220,train
1221,test
1222,train
1223,train
1224,train
1225,train
1226,train
1227,test
1228,test
1229,train
1230,train
1231,train
1232,train
1233,train
1234,train
1235,test
1236,train
1237,train
1238,train
1239,train
1240,train
1241,train
1242,test
1243,train
1244,train
1245,train
1246,test
1247,train
1248,train
1249,test
1250,train
1251,train
1252,train
1253,test
1254,train
1255,train
1256,test
1257,train
1258,train
1259,train
1260,train
1261,train
1262,train
1263,test
1264,train
1265,train
1266,train
1267,train
1268,train
1269,train
1270,test
1271,test
1272,train
1273,train
1274,test
1275,train
1276,train
1277,train
1278,train
1279,train
1280,test
1281,train
1282,train
1283,train
1284,train
1285,train
1286,test
1287,train
1288,train
1289,train
1290,train
1291,train
1292,train
1293,test
1294,train
1295,train
1296,test
1297,train
1298,test
1299,test
1300,train
1301,train
1302,test
1303,test
1304,train
1305,train
1306,train
1307,train
1308,train
1309,test
1310,train
1311,train
1312,test
1313,train
1314,test
1315,train
1316,test
1317,train
1318,train
1319,train
1320,train
1321,test
1322,test
1323,test
1324,test
1325,train
1326,train
1327,test
1328,train
1329,train
1330,train
1331,train
1332,train
1333,train
1334,train
1335,train
1336,train
1337,train
